id,firstname,surname,born,died,bornCountry,bornCountryCode,gender,prize_years,prize_categories,prize_motivation,ISO-ALPHA-3,latitude,longitude,officialCountryName
30,James,Franck,1882,1964,Germany,DE,male,1925,physics,"""for their discovery of the laws governing the impact of an electron upon an atom""",DDR,52.05,12.39,German Democratic Republic
31,Gustav,Hertz,1887,1975,Germany,DE,male,1925,physics,"""for their discovery of the laws governing the impact of an electron upon an atom""",DDR,52.05,12.39,German Democratic Republic
32,Jean Baptiste,Perrin,1870,1942,France,FR,male,1926,physics,"""for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium""",FRA,47.0,2.0,France
33,Arthur H.,Compton,1892,1962,USA,US,male,1927,physics,"""for his discovery of the effect named after him""",USA,39.83,-98.58,United States of America
34,C.T.R.,Wilson,1869,1959,Scotland,GB,male,1927,physics,"""for his method of making the paths of electrically charged particles visible by condensation of vapour""",GBR,54.6,-2.0,United Kingdom
35,Owen Willans,Richardson,1879,1959,United Kingdom,GB,male,1928,physics,"""for his work on the thermionic phenomenon and especially for the discovery of the law named after him""",GBR,54.6,-2.0,United Kingdom
36,Louis,de Broglie,1892,1987,France,FR,male,1929,physics,"""for his discovery of the wave nature of electrons""",FRA,47.0,2.0,France
37,Sir Chandrasekhara Venkata,Raman,1888,1970,India,IN,male,1930,physics,"""for his work on the scattering of light and for the discovery of the effect named after him""",IND,22.8,83.0,India
38,Werner,Heisenberg,1901,1976,Germany,DE,male,1932,physics,"""for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen""",DDR,52.05,12.39,German Democratic Republic
39,Erwin,Schrödinger,1887,1961,Austria,AT,male,1933,physics,"""for the discovery of new productive forms of atomic theory""",AUT,48.0,14.0,Austria
40,Paul A.M.,Dirac,1902,1984,United Kingdom,GB,male,1933,physics,"""for the discovery of new productive forms of atomic theory""",GBR,54.6,-2.0,United Kingdom
41,James,Chadwick,1891,1974,United Kingdom,GB,male,1935,physics,"""for the discovery of the neutron""",GBR,54.6,-2.0,United Kingdom
42,Victor F.,Hess,1883,1964,Austria,AT,male,1936,physics,"""for his discovery of cosmic radiation""",AUT,48.0,14.0,Austria
43,Carl D.,Anderson,1905,1991,USA,US,male,1936,physics,"""for his discovery of the positron""",USA,39.83,-98.58,United States of America
44,Clinton,Davisson,1881,1958,USA,US,male,1937,physics,"""for their experimental discovery of the diffraction of electrons by crystals""",USA,39.83,-98.58,United States of America
45,George Paget,Thomson,1892,1975,United Kingdom,GB,male,1937,physics,"""for their experimental discovery of the diffraction of electrons by crystals""",GBR,54.6,-2.0,United Kingdom
46,Enrico,Fermi,1901,1954,Italy,IT,male,1938,physics,"""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons""",ITA,42.5,12.5,Italy
47,Ernest,Lawrence,1901,1958,USA,US,male,1939,physics,"""for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements""",USA,39.83,-98.58,United States of America
48,Otto,Stern,1888,1969,Germany (now Poland),PL,male,1943,physics,"""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton""",POL,52.0,19.0,Poland
49,Isidor Isaac,Rabi,1898,1988,Austria-Hungary (now Poland),PL,male,1944,physics,"""for his resonance method for recording the magnetic properties of atomic nuclei""",POL,52.0,19.0,Poland
50,Wolfgang,Pauli,1900,1958,Austria,AT,male,1945,physics,"""for the discovery of the Exclusion Principle, also called the Pauli Principle""",AUT,48.0,14.0,Austria
51,Percy W.,Bridgman,1882,1961,USA,US,male,1946,physics,"""for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics""",USA,39.83,-98.58,United States of America
52,Edward V.,Appleton,1892,1965,United Kingdom,GB,male,1947,physics,"""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer""",GBR,54.6,-2.0,United Kingdom
53,Patrick M.S.,Blackett,1897,1974,United Kingdom,GB,male,1948,physics,"""for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation""",GBR,54.6,-2.0,United Kingdom
54,Hideki,Yukawa,1907,1981,Japan,JP,male,1949,physics,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",JPN,35.0,136.0,Japan
55,Cecil,Powell,1903,1969,United Kingdom,GB,male,1950,physics,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method""",GBR,54.6,-2.0,United Kingdom
56,John,Cockcroft,1897,1967,United Kingdom,GB,male,1951,physics,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",GBR,54.6,-2.0,United Kingdom
57,Ernest T.S.,Walton,1903,1995,Ireland,IE,male,1951,physics,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",IRL,53.0,-8.0,Republic of Ireland
58,Felix,Bloch,1905,1983,Switzerland,CH,male,1952,physics,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",CHE,46.8,8.23,Switzerland
59,E. M.,Purcell,1912,1997,USA,US,male,1952,physics,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",USA,39.83,-98.58,United States of America
60,Frits,Zernike,1888,1966,the Netherlands,NL,male,1953,physics,"""for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope""",NLD,52.32,5.55,Netherlands
61,Max,Born,1882,1970,Germany (now Poland),PL,male,1954,physics,"""for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction""",POL,52.0,19.0,Poland
62,Walther,Bothe,1891,1957,Germany,DE,male,1954,physics,"""for the coincidence method and his discoveries made therewith""",DDR,52.05,12.39,German Democratic Republic
63,Willis E.,Lamb,1913,2008,USA,US,male,1955,physics,"""for his discoveries concerning the fine structure of the hydrogen spectrum""",USA,39.83,-98.58,United States of America
64,Polykarp,Kusch,1911,1993,Germany,DE,male,1955,physics,"""for his precision determination of the magnetic moment of the electron""",DDR,52.05,12.39,German Democratic Republic
65,William B.,Shockley,1910,1989,United Kingdom,GB,male,1956,physics,"""for their researches on semiconductors and their discovery of the transistor effect""",GBR,54.6,-2.0,United Kingdom
66,John,Bardeen,1908,1991,USA,US,male,"1956, 1972","physics, physics","""for their researches on semiconductors and their discovery of the transistor effect"", ""for their jointly developed theory of superconductivity, usually called the BCS-theory""",USA,39.83,-98.58,United States of America
67,Walter H.,Brattain,1902,1987,China,CN,male,1956,physics,"""for their researches on semiconductors and their discovery of the transistor effect""",CHN,35.84,103.45,People's Republic of China
68,Chen Ning,Yang,1922,0,China,CN,male,1957,physics,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",CHN,35.84,103.45,People's Republic of China
69,Tsung-Dao,Lee,1926,0,China,CN,male,1957,physics,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",CHN,35.84,103.45,People's Republic of China
70,Pavel A.,Cherenkov,1904,1990,Russia,RU,male,1958,physics,"""for the discovery and the interpretation of the Cherenkov effect""",RUS,66.42,94.25,Russia
71,Igor Y.,Tamm,1895,1971,Russia,RU,male,1958,physics,"""for the discovery and the interpretation of the Cherenkov effect""",RUS,66.42,94.25,Russia
72,Emilio,Segrè,1905,1989,Italy,IT,male,1959,physics,"""for their discovery of the antiproton""",ITA,42.5,12.5,Italy
73,Owen,Chamberlain,1920,2006,USA,US,male,1959,physics,"""for their discovery of the antiproton""",USA,39.83,-98.58,United States of America
74,Donald A.,Glaser,1926,2013,USA,US,male,1960,physics,"""for the invention of the bubble chamber""",USA,39.83,-98.58,United States of America
75,Robert,Hofstadter,1915,1990,USA,US,male,1961,physics,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""",USA,39.83,-98.58,United States of America
76,Rudolf,Mössbauer,1929,2011,Germany,DE,male,1961,physics,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",DDR,52.05,12.39,German Democratic Republic
77,Lev,Landau,1908,1968,Russian Empire (now Azerbaijan),AZ,male,1962,physics,"""for his pioneering theories for condensed matter, especially liquid helium""",AZE,40.3,47.7,Azerbaijan
78,Eugene,Wigner,1902,1995,Austria-Hungary (now Hungary),HU,male,1963,physics,"""for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles""",HUN,47.0,19.0,Hungary
79,Maria,Goeppert Mayer,1906,1972,Germany (now Poland),PL,female,1963,physics,"""for their discoveries concerning nuclear shell structure""",POL,52.0,19.0,Poland
80,J. Hans D.,Jensen,1907,1973,Germany,DE,male,1963,physics,"""for their discoveries concerning nuclear shell structure""",DDR,52.05,12.39,German Democratic Republic
81,Charles H.,Townes,1915,2015,USA,US,male,1964,physics,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",USA,39.83,-98.58,United States of America
82,Nicolay G.,Basov,1922,2001,USSR (now Russia),RU,male,1964,physics,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",RUS,66.42,94.25,Russia
83,Aleksandr M.,Prokhorov,1916,2002,Australia,AU,male,1964,physics,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",AUS,-28.0,137.0,Australia
84,Sin-Itiro,Tomonaga,1906,1979,Japan,JP,male,1965,physics,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",JPN,35.0,136.0,Japan
85,Julian,Schwinger,1918,1994,USA,US,male,1965,physics,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",USA,39.83,-98.58,United States of America
86,Richard P.,Feynman,1918,1988,USA,US,male,1965,physics,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",USA,39.83,-98.58,United States of America
87,Alfred,Kastler,1902,1984,Germany (now France),FR,male,1966,physics,"""for the discovery and development of optical methods for studying Hertzian resonances in atoms""",FRA,47.0,2.0,France
88,Hans,Bethe,1906,2005,Germany (now France),FR,male,1967,physics,"""for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars""",FRA,47.0,2.0,France
89,Luis,Alvarez,1911,1988,USA,US,male,1968,physics,"""for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis""",USA,39.83,-98.58,United States of America
90,Murray,Gell-Mann,1929,2019,USA,US,male,1969,physics,"""for his contributions and discoveries concerning the classification of elementary particles and their interactions""",USA,39.83,-98.58,United States of America
91,Hannes,Alfvén,1908,1995,Sweden,SE,male,1970,physics,"""for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics""",SWE,61.0,15.0,Sweden
92,Louis,Néel,1904,2000,France,FR,male,1970,physics,"""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics""",FRA,47.0,2.0,France
93,Dennis,Gabor,1900,1979,Hungary,HU,male,1971,physics,"""for his invention and development of the holographic method""",HUN,47.0,19.0,Hungary
95,Leon N.,Cooper,1930,0,USA,US,male,1972,physics,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",USA,39.83,-98.58,United States of America
96,Robert,Schrieffer,1931,2019,USA,US,male,1972,physics,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",USA,39.83,-98.58,United States of America
97,Leo,Esaki,1925,0,Japan,JP,male,1973,physics,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively""",JPN,35.0,136.0,Japan
98,Ivar,Giaever,1929,0,Norway,NO,male,1973,physics,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively""",NOR,65.0,11.0,Norway
99,Brian D.,Josephson,1940,0,United Kingdom,GB,male,1973,physics,"""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects""",GBR,54.6,-2.0,United Kingdom
100,Martin,Ryle,1918,1984,United Kingdom,GB,male,1974,physics,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars""",GBR,54.6,-2.0,United Kingdom
101,Antony,Hewish,1924,2021,United Kingdom,GB,male,1974,physics,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars""",GBR,54.6,-2.0,United Kingdom
102,Aage N.,Bohr,1922,2009,Denmark,DK,male,1975,physics,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",DNK,56.0,10.0,Denmark
103,Ben R.,Mottelson,1926,2022,USA,US,male,1975,physics,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",USA,39.83,-98.58,United States of America
104,James,Rainwater,1917,1986,USA,US,male,1975,physics,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",USA,39.83,-98.58,United States of America
105,Burton,Richter,1931,2018,USA,US,male,1976,physics,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",USA,39.83,-98.58,United States of America
106,Samuel C.C.,Ting,1936,0,USA,US,male,1976,physics,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",USA,39.83,-98.58,United States of America
107,Philip W.,Anderson,1923,2020,USA,US,male,1977,physics,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",USA,39.83,-98.58,United States of America
108,Sir Nevill F.,Mott,1905,1996,United Kingdom,GB,male,1977,physics,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",GBR,54.6,-2.0,United Kingdom
109,John H.,Van Vleck,1899,1980,USA,US,male,1977,physics,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",USA,39.83,-98.58,United States of America
110,Pyotr,Kapitsa,1894,1984,Russian Empire (now Russia),RU,male,1978,physics,"""for his basic inventions and discoveries in the area of low-temperature physics""",RUS,66.42,94.25,Russia
111,Arno,Penzias,1933,2024,Germany,DE,male,1978,physics,"""for their discovery of cosmic microwave background radiation""",DDR,52.05,12.39,German Democratic Republic
112,Robert Woodrow,Wilson,1936,0,USA,US,male,1978,physics,"""for their discovery of cosmic microwave background radiation""",USA,39.83,-98.58,United States of America
113,Sheldon,Glashow,1932,0,USA,US,male,1979,physics,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",USA,39.83,-98.58,United States of America
114,Abdus,Salam,1926,1996,India (now Pakistan),PK,male,1979,physics,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",PAK,30.0,71.0,Pakistan
115,Steven,Weinberg,1933,2021,USA,US,male,1979,physics,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",USA,39.83,-98.58,United States of America
116,James,Cronin,1931,2016,USA,US,male,1980,physics,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",USA,39.83,-98.58,United States of America
117,Val,Fitch,1923,2015,USA,US,male,1980,physics,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",USA,39.83,-98.58,United States of America
118,Nicolaas,Bloembergen,1920,2017,the Netherlands,NL,male,1981,physics,"""for their contribution to the development of laser spectroscopy""",NLD,52.32,5.55,Netherlands
119,Arthur L.,Schawlow,1921,1999,USA,US,male,1981,physics,"""for their contribution to the development of laser spectroscopy""",USA,39.83,-98.58,United States of America
120,Kai M.,Siegbahn,1918,2007,Sweden,SE,male,1981,physics,"""for his contribution to the development of high-resolution electron spectroscopy""",SWE,61.0,15.0,Sweden
121,Kenneth G.,Wilson,1936,2013,USA,US,male,1982,physics,"""for his theory for critical phenomena in connection with phase transitions""",USA,39.83,-98.58,United States of America
122,Subrahmanyan,Chandrasekhar,1910,1995,India (now Pakistan),PK,male,1983,physics,"""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars""",PAK,30.0,71.0,Pakistan
123,William A.,Fowler,1911,1995,USA,US,male,1983,physics,"""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe""",USA,39.83,-98.58,United States of America
124,Carlo,Rubbia,1934,0,Italy,IT,male,1984,physics,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""",ITA,42.5,12.5,Italy
125,Simon,van der Meer,1925,2011,the Netherlands,NL,male,1984,physics,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""",NLD,52.32,5.55,Netherlands
126,Klaus,von Klitzing,1943,0,German-occupied Poland (now Poland),PL,male,1985,physics,"""for the discovery of the quantized Hall effect""",POL,52.0,19.0,Poland
127,Ernst,Ruska,1906,1988,Germany,DE,male,1986,physics,"""for his fundamental work in electron optics, and for the design of the first electron microscope""",DDR,52.05,12.39,German Democratic Republic
128,Gerd,Binnig,1947,0,West Germany (now Germany),DE,male,1986,physics,"""for their design of the scanning tunneling microscope""",DDR,52.05,12.39,German Democratic Republic
129,Heinrich,Rohrer,1933,2013,Switzerland,CH,male,1986,physics,"""for their design of the scanning tunneling microscope""",CHE,46.8,8.23,Switzerland
130,J. Georg,Bednorz,1950,0,West Germany (now Germany),DE,male,1987,physics,"""for their important break-through in the discovery of superconductivity in ceramic materials""",DDR,52.05,12.39,German Democratic Republic
131,K. Alex,Müller,1927,2023,Switzerland,CH,male,1987,physics,"""for their important break-through in the discovery of superconductivity in ceramic materials""",CHE,46.8,8.23,Switzerland
132,Leon M.,Lederman,1922,2018,USA,US,male,1988,physics,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",USA,39.83,-98.58,United States of America
133,Melvin,Schwartz,1932,2006,USA,US,male,1988,physics,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",USA,39.83,-98.58,United States of America
134,Jack,Steinberger,1921,2020,Germany,DE,male,1988,physics,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",DDR,52.05,12.39,German Democratic Republic
135,Norman F.,Ramsey,1915,2011,USA,US,male,1989,physics,"""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks""",USA,39.83,-98.58,United States of America
136,Hans G.,Dehmelt,1922,2017,Prussia (now Germany),DE,male,1989,physics,"""for the development of the ion trap technique""",DDR,52.05,12.39,German Democratic Republic
137,Wolfgang,Paul,1913,1993,Germany,DE,male,1989,physics,"""for the development of the ion trap technique""",DDR,52.05,12.39,German Democratic Republic
138,Jerome I.,Friedman,1930,0,USA,US,male,1990,physics,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""",USA,39.83,-98.58,United States of America
139,Henry W.,Kendall,1926,1999,USA,US,male,1990,physics,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""",USA,39.83,-98.58,United States of America
140,Richard E.,Taylor,1929,2018,Canada,CA,male,1990,physics,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""",CAN,56.0,-109.0,Canada
141,Pierre-Gilles,de Gennes,1932,2007,France,FR,male,1991,physics,"""for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers""",FRA,47.0,2.0,France
142,Georges,Charpak,1924,2010,Poland,PL,male,1992,physics,"""for his invention and development of particle detectors, in particular the multiwire proportional chamber""",POL,52.0,19.0,Poland
143,Russell A.,Hulse,1950,0,USA,US,male,1993,physics,"""for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation""",USA,39.83,-98.58,United States of America
144,Joseph H.,Taylor Jr.,1941,0,USA,US,male,1993,physics,"""for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation""",USA,39.83,-98.58,United States of America
145,Bertram N.,Brockhouse,1918,2003,Canada,CA,male,1994,physics,"""for the development of neutron spectroscopy""",CAN,56.0,-109.0,Canada
146,Clifford G.,Shull,1915,2001,USA,US,male,1994,physics,"""for the development of the neutron diffraction technique""",USA,39.83,-98.58,United States of America
147,Martin L.,Perl,1927,2014,USA,US,male,1995,physics,"""for the discovery of the tau lepton""",USA,39.83,-98.58,United States of America
148,Frederick,Reines,1918,1998,USA,US,male,1995,physics,"""for the detection of the neutrino""",USA,39.83,-98.58,United States of America
149,David M.,Lee,1931,0,USA,US,male,1996,physics,"""for their discovery of superfluidity in helium-3""",USA,39.83,-98.58,United States of America
150,Douglas D.,Osheroff,1945,0,USA,US,male,1996,physics,"""for their discovery of superfluidity in helium-3""",USA,39.83,-98.58,United States of America
151,Robert C.,Richardson,1937,2013,USA,US,male,1996,physics,"""for their discovery of superfluidity in helium-3""",USA,39.83,-98.58,United States of America
152,Steven,Chu,1948,0,USA,US,male,1997,physics,"""for development of methods to cool and trap atoms with laser light""",USA,39.83,-98.58,United States of America
153,Claude,Cohen-Tannoudji,1933,0,French Algeria (now Algeria),DZ,male,1997,physics,"""for development of methods to cool and trap atoms with laser light""",DZA,28.0,1.0,Algeria
154,William D.,Phillips,1948,0,USA,US,male,1997,physics,"""for development of methods to cool and trap atoms with laser light""",USA,39.83,-98.58,United States of America
155,Robert B.,Laughlin,1950,0,USA,US,male,1998,physics,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",USA,39.83,-98.58,United States of America
156,Horst L.,Störmer,1949,0,West Germany (now Germany),DE,male,1998,physics,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",DDR,52.05,12.39,German Democratic Republic
157,Daniel C.,Tsui,1939,0,China,CN,male,1998,physics,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",CHN,35.84,103.45,People's Republic of China
158,Gerardus,'t Hooft,1946,0,the Netherlands,NL,male,1999,physics,"""for elucidating the quantum structure of electroweak interactions in physics""",NLD,52.32,5.55,Netherlands
159,Martinus J.G.,Veltman,1931,2021,the Netherlands,NL,male,1999,physics,"""for elucidating the quantum structure of electroweak interactions in physics""",NLD,52.32,5.55,Netherlands
160,Jacobus H.,van 't Hoff,1852,1911,the Netherlands,NL,male,1901,chemistry,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",NLD,52.32,5.55,Netherlands
